Réseau Social,Class,Commentaire client,category,urgent
Facebook,Messages positifs / remerciements,"تم ",positive,0
Twitter,Messages positifs / remerciements,"Nous sommes en attente, khir nchalah",positive,0
Instagram,Messages positifs / remerciements,إن شاء الله يكون عرض صحاب 300 و 500 ميجا فيبر ياربي,positive,0
Facebook,Messages positifs / remerciements,"اتمنى لكم مزيد من التألق ",positive,0
Facebook,Messages positifs / remerciements,الجديد الذي يفرحنا هو الانتقال من ال Idoom ADSL الى Idoom Fibre,positive,0
Facebook,Messages positifs / remerciements,"أوووووو شوقتونا ",positive,0
Instagram,Messages positifs / remerciements,صرحة .الانترنت الخاصة بالالياف البصرية راهي مشاء الله ...جزاكم الله خيرا واصلو وزيدو في المثابرة . بالتوفيق,positive,0
Facebook,Messages positifs / remerciements,Very remarkable improvements in Algérie Télécom - إتصالات الجزائر ,positive,0
Instagram,Messages positifs / remerciements,تجديد عرض. 300؟ ,interrogative,0
Facebook,Messages positifs / remerciements,شكرا لكم ونرحو ان يجسد في ارض الواقع و هذا العرض سوف يلقى رواج كبير جدا و يكون ناجح الف بالمئة لو يجسد حقيقتا,positive,0
Facebook,Messages positifs / remerciements,موفقون يعطيكم الصحة والعافية عمال إتصالات الجزائر,positive,0
Facebook,Messages positifs / remerciements,مشكورين كل شكر على المجهود الجبار لتوفير النت وصهر على راحت المواطن .شكرا,positive,0
Linkedin,Messages positifs / remerciements,Très bonne initiative. Les Hackathons sont un moyen efficace.,positive,0
Linkedin,Messages positifs / remerciements,Cela vaut la peine d’y assister,positive,0
Facebook,Messages positifs / remerciements,صح تلت ايام زيادة كل شهر بونيس❤️,positive,0
Facebook,Messages positifs / remerciements,Algérie Télécom - إتصالات الجزائر شكرا اتمنى لكم دوام الصحة والعافية,positive,0
Facebook,Messages positifs / remerciements,Algérie Télécom - إتصالات الجزائر شكرا لكي ولعمال اتصالات الجزائر على العمل الجبار الذي تقمون به,positive,0
Instagram,Messages positifs / remerciements,I hope the service meets the expectations set by the advertisement.,positive,0
Facebook,Messages positifs / remerciements,Si Fou مداير تاع 300 توصلني 300/310,positive,0
Facebook,Messages positifs / remerciements,مشكورين على الخدمة,positive,0
Facebook,Messages positifs / remerciements,شكرا لكم.,positive,0
Facebook,Messages positifs / remerciements,مؤسسة اتصالات الجزائر تحية خالصة لكم,positive,0
Facebook,Messages positifs / remerciements,واصلوا العمل خدماتكم روووعة,positive,0
Facebook,Messages positifs / remerciements,انا عندي فيبر 300 ميغا رووووعة ,positive,0
Facebook,Messages positifs / remerciements,قطاع الاتصالات في الجزائر بصراحة دارو قفزة نوعية,positive,0
Facebook,Messages positifs / remerciements,بالتوفيق انشاءالله,positive,0
Linkedin,Messages positifs / remerciements,Bonne continuation à l'équipe Algérie Télécom,positive,0
Facebook,Messages positifs / remerciements,مشكور اخي من أجل الرد لأن هذا في حد ذاته اهتمام فشكرا مرة اخرى,positive,0
Facebook,Messages positifs / remerciements,المديرية العملياتية للاتصالات غليزان برافو,positive,0
Facebook,Messages positifs / remerciements,يشرفنا ويزيدنا فخرًا أن يتم مشاركة منشورنا عبر الصفحة الرسمية لاتصالات الجزائر. شكراً لهذه الثقة الكبيرة والدعم المستمر، الذي يحفزنا على تقديم الأفضل دائمًا. كل التقدير والاحترام!,positive,0
Instagram,Messages positifs / remerciements,❤️,positive,0
Linkedin,Messages positifs / remerciements,Best of luck,positive,0
Linkedin,Messages positifs / remerciements,ي التوفيق والنجاح ان شاء الله,positive,0
Linkedin,Messages positifs / remerciements,"e plus en plus de succès A/krim, bravo à toute l'équipe !",positive,0
Linkedin,Messages positifs / remerciements,لله ايبارك جنا المستوى و التوفيق من الله انشاء الله,positive,0
Facebook,Messages positifs / remerciements,التطور ليس مجرد غاية نسعى إليها، بل هو طريق مستمر نرسمه بأيدينا، وبفضل جهودكم المخلصة وإبداعكم المتجدد، نحن قادرون على تحقيق أي هدف نضعه نصب أعيننا.,positive,0
Linkedin,Messages positifs / remerciements,تحديث رائع,positive,0
Linkedin,Messages positifs / remerciements," Si vous avez Adel avec vous c'est que le niveau est stratosphérique ",positive,0
Linkedin,Messages positifs / remerciements,ما شاء الله .بالتوفيق للجميع .,positive,0
Facebook,Messages positifs / remerciements,برافو ,positive,0
Facebook,Messages positifs / remerciements,Med Nl انا ايضا اخي,positive,0
Facebook,Messages positifs / remerciements,اليوم و بعد الشكوى الثانية قامت فرقة تقنية تابعة لإتصالات الجزائر (سكيكدة) بالتدخل لإصلاح العطب أقل ما يمكن أن نقول عنه أنه تدخل إحترافي و نوعي وفي المستوى المطلوب.,positive,0
Facebook,Messages positifs / remerciements,أحسنتم,positive,0
Facebook,Messages positifs / remerciements,جمعة مباركة للجميع,off-topic,0
Facebook,Messages positifs / remerciements,جمعة مباركة عليكم تحية لكل عمال اتصالات الجزائر ,off-topic,0
Facebook,Messages positifs / remerciements,إتصالات الجزائر إسم على مسمى، للتواصل معنى، شكرا لكم,positive,0
Facebook,Messages positifs / remerciements,شكرا لكم بفضل اهتمامكم بانشغلاتنا وندعوا لكم بالتوفيق في عملكم وتفانيكم,positive,0
Facebook,Messages positifs / remerciements,السلام عليكم وبالتوغيق,positive,0
Facebook,Messages positifs / remerciements,Je confirme,positive,0
Facebook,Messages positifs / remerciements,شكرا لاتصالات الجزائر على الخطوة العملاقة.تم ربط منزلنا بالخدمة رغم اننا في منطقة نائية ونحن الان نستمتع بالانترنت فائق فائق فائق السرعة.,positive,0
TikTok,Messages positifs / remerciements,شكرا لكم انشاء الله المزيد من النجحات لأتصلات الجزائر ,positive,0
Facebook,Messages positifs / remerciements,تتواصل العروض القيمة و الجميلة للفيبر .و لا ندري ما محل اعراب ايدوم 4جي,positive,0
Linkedin,Messages positifs / remerciements,"بالتوفيق ان شاء الله ",positive,0
Linkedin,Messages positifs / remerciements,Bon travail ,positive,0
Linkedin,Messages positifs / remerciements,Good Work,positive,0
Instagram,Messages positifs / remerciements,chapeau l chabiba❤️,positive,0
Facebook,Messages positifs / remerciements,قوة التدفق رهيبة بالفيبر والله يعطيكم صحة نشاله تعمم على جل بقاع الوطن,positive,0
Linkedin,Messages positifs / remerciements,فرصة رائعة.,positive,0
Linkedin,Messages positifs / remerciements,Événement intéressant Algérie Télécom,positive,0
Linkedin,Messages positifs / remerciements,"entre Algérie Télécom d'hier et celle d'aujourd'hui une grande différence ,nous sommes tellement fière de ce qu'elle devienne grâce au génie de son leader Adel Bentoumi , actuellement les défis sont multiples, d'une part comment maintenir le haut niveau de performance qu'a été atteint sur plusieurs volets et aussi comment faire d'autres grands pas en avant dans un milieu en perpétuel mutation technologique .",positive,0
Linkedin,Messages positifs / remerciements,Wow great work ,positive,0
Linkedin,Messages positifs / remerciements,Great opportunity!,positive,0
Linkedin,Messages positifs / remerciements,"Très Ravi de voir Algérie Télécom à l'avant-garde de l'innovation technologique. Un partenariat gagnant pour le développement de notre pays et sa transformation digitale hashtag#FierDeNotreAlgérietelecom""",positive,0
Linkedin,Messages positifs / remerciements,Bravo la TEAM Algérie Télécom,positive,0
Linkedin,Messages positifs / remerciements,"J’étais ravi de participer au dernier segment. Merci pour l’invitation Azzedine Harik, Adel Bentoumi et good job hashtag#AWSOME team Nicolas DAVID Said CHERFI Fatiha Bouabache ",positive,0
Facebook,Messages positifs / remerciements,شكرا لكم ربي يوفق,positive,0
Instagram,Messages positifs / remerciements," Bravo Belle initiative ",positive,0
Instagram,Messages positifs / remerciements,Merci beaucoup pour vos encouragements chaleureux ! Nous sommes déterminés à continuer à progresser et à exceller dans tout ce que nous entreprenons. Votre soutien est une source d'inspiration pour nous.,positive,0
Facebook,Messages positifs / remerciements,با توفيق,positive,0
Facebook,Messages positifs / remerciements,Kolshi mebrouk ❤️,positive,0
Linkedin,Messages positifs / remerciements,Said CHERFI Great insights in your interview about AWS and innovation at Algérie Télécom ! It reminded me of your leadership at Ericsson. Always inspiring to see your contributions!,positive,0
Instagram,Messages positifs / remerciements,❤️❤️❤️❤️❤️❤️,positive,0
Facebook,Messages positifs / remerciements,ألف مبروك للجزائر أولا ولمؤسستكم ثانيا ،حقيقة هناك تطور ملحوظ ونوعي في الخدمات,positive,0
Facebook,Messages positifs / remerciements,فخورون بكم,positive,0
Facebook,Messages positifs / remerciements,مبروك للجزائر,positive,0
Facebook,Messages positifs / remerciements,المهم الاستمرارية والبحث عى ماهو احسن,positive,0
Facebook,Messages positifs / remerciements,Toutes mes félicitations,positive,0
Facebook,Messages positifs / remerciements,Félicitations ,positive,0
Facebook,Messages positifs / remerciements,حقيقة تستحقّون الجائزة إحترافيّة كبيرة و تطوّر و تقدّم كبير تشهده المؤسسة و مجهودات كبيرة تقوم بها المؤسسّة في تحسين الخدمات مبروك,positive,0
Facebook,Messages positifs / remerciements,الف الف مبروووك لاتصالات الجزائر ,positive,0
Facebook,Messages positifs / remerciements,مبروك عليكم و بالتوفيق للقادم ان شاءالله عز وجل,positive,0
Facebook,Messages positifs / remerciements,Félicitations 拾 Algérie Télécom,positive,0
Facebook,Messages positifs / remerciements,الف مبروووك..,positive,0
Facebook,Messages positifs / remerciements,مبروك عليكم و بالتوفيق للقادم ان شاءالله عز وجل ????????????????? idoma fibre,positive,0
Instagram,Messages positifs / remerciements,تستاهلو,positive,0
Linkedin,Messages positifs / remerciements,Bien joué félicitations!,positive,0
Linkedin,Messages positifs / remerciements,"Une victoire au prix de la qualité,méritée.Cette prestigieuse distinction est le fruit des efforts de top-management,de tout le staff et de tous les travailleurs et à leur tête Monsieur Adil Bentoumi.",positive,0
Linkedin,Messages positifs / remerciements,Excellente nouvelle,positive,0
Linkedin,Messages positifs / remerciements,Bravo à toute l'équipe d'AT vous méritez,positive,0
Linkedin,Messages positifs / remerciements,Félicitations ! Félicitations à toute l'équipe AT,positive,0
Linkedin,Messages positifs / remerciements,"Bravo, félicitations ",positive,0
Linkedin,Messages positifs / remerciements,"Very well deserved, bravo",positive,0
Linkedin,Messages positifs / remerciements,Big up to my company big up for all,positive,0
Linkedin,Messages positifs / remerciements,Wishing you the best,positive,0
Linkedin,Messages positifs / remerciements,Très bonne opportunité pour faire passer AT à un autre niveau de service.,positive,0
Linkedin,Messages positifs / remerciements,La meilleure nouvelle de l’année !,positive,0
Facebook,Messages positifs / remerciements,مبروك عليكم وعلى الجزائر ولمزيد من النجاحات في المستقبل,positive,0
Youtube,Messages positifs / remerciements," bonne continuation pour Algérie Télécom mais que cette continuation soit plus rapide que possible ",positive,0
Linkedin,Messages positifs / remerciements,Bien mérité,positive,0
Linkedin,Messages positifs / remerciements,Félicitations à toutes les équipes AT,positive,0
Linkedin,Messages positifs / remerciements,جميل جدا جدا بي التوفيق والنجاح ان شاء الله,positive,0
Facebook,Messages positifs / remerciements,من السهل الوصول للقمة لكن من الصعب المحافظة عليها... مبروك ,positive,0
Facebook,Messages positifs / remerciements,#إتصالات Algérie Télécom - إتصالات الجزائر في القلب ♥️,positive,0
Facebook,Messages positifs / remerciements,الف مبروووك والمزيد من النجاحات ان شاء,positive,0
Facebook,Messages positifs / remerciements,En est fière Algérie Télécom toujours plus proches bonne continuation inchallah,positive,0
Facebook,Messages positifs / remerciements,شكرا على الجهود المبذولة انترنت سريعة جداا ❤️,positive,0
Facebook,Messages positifs / remerciements,تطور ملحوظ الحق يقال,positive,0
Facebook,Messages positifs / remerciements,ألف ألف مبروك ,positive,0
Facebook,Messages positifs / remerciements,شكرا لقد حل المشكل تلقائيا,positive,0
Linkedin,Messages positifs / remerciements," Toujours à la hauteur , actuellement Algérie Télécom à su gagner sa place parmi les gourous des Télécommunications et ça fait un grand plaisir d'être parmi eux comme un apprenant, Bravooooooo ",positive,0
Linkedin,Messages positifs / remerciements," Une prestigieuse distinction, félicitations !! ",positive,0
Linkedin,Messages positifs / remerciements," C une fierté de faire partie de cette grande entreprise Algérienne de haute technologie et haute qualité ",positive,0
Linkedin,Messages positifs / remerciements," BIG UP to our Great Company! And...to our Leaders! ",positive,0
Linkedin,Messages positifs / remerciements," Félicitations ! À la certification global en ISO inchallah, mérité ce titre ",positive,0
Facebook,Messages positifs / remerciements,أفضل مؤسسة وطنية بدون منازع,positive,0
Facebook,Messages positifs / remerciements,مبروك علينا,positive,0
Facebook,Messages positifs / remerciements," Honneur et Félicitations à tous le personnel d'Algérie Télécom.",positive,0
Facebook,Messages positifs / remerciements,ألف مبروووك,positive,0
TikTok,Messages positifs / remerciements,,positive,0
Facebook,Messages positifs / remerciements,Bravo bravo bravo ,positive,0
Instagram,Messages positifs / remerciements,C'est une bonne chose,positive,0
Instagram,Messages positifs / remerciements,Finally bravo  let's review this ,positive,0
Facebook,Messages positifs / remerciements,هاذ الشي كون دارتو دولة أجنبية يولو كامل منبهرين ويشكرو فيها وقابلين الفكرة بصح كي تولي في بلادك لا يستهزاو بيك ويضحكو عليك هذا هو حال الشعب المتخلف,positive,0
Instagram,Messages positifs / remerciements,Morad yjib ghir les bons plans  vraiment haja top c'est intéressant,positive,0
Instagram,Messages positifs / remerciements,ما شاء الله ❤️,positive,0
Instagram,Messages positifs / remerciements,"Bravo , Game Changer ",positive,0
Instagram,Messages positifs / remerciements,مزيا درتو حاجة تصلح,positive,0
Facebook,Messages positifs / remerciements,Hope more great stuff for my country. Good job on the collab,positive,0
Facebook,Messages positifs / remerciements,I love ittttt﫠❤️,positive,0
Facebook,Messages positifs / remerciements,"Congratulations, So proud of you @djezzy.dz @algerietelecom and cant wait to review it and use it ",positive,0
Facebook,Messages positifs / remerciements,شكرا لكم مزيد من التقدم انشالله Algérie Télécom - إتصالات الجزائر,positive,0
Facebook,Messages positifs / remerciements,"تطور ملحوظ ",positive,0
Facebook,Messages positifs / remerciements,فخر كبير لما نشوفو شركات اتصالات تتعاون لتحقيق مشاريع جديدة للشعب، دمتم في تقدم مستمر,positive,0
Facebook,Messages positifs / remerciements,"مبروك ",positive,0
Facebook,Messages positifs / remerciements,"بالتوفيق ان شاءالله ومزيد من النجاحاتاللهم صلي على النبي ",positive,0
Facebook,Messages positifs / remerciements,من المروءة أن يقال للمحسن أحسنت,positive,0
Facebook,Messages positifs / remerciements,ألف مبروك على هذا الإنجاز المتميز الذي يعكس تفانيكم وجهودكم المستمرة في تقديم الأفضل! حصولكم على جائزة اختيار الجودة - فئة الماس هو دليل واضح على التزامكم بتقديم خدمات ذات مستوى عالٍ تلبي تطلعات زبائنكم.,positive,0
Facebook,Messages positifs / remerciements,"ألف مبرووووك ",positive,0
Facebook,Messages positifs / remerciements,بالتوفيق نشا المزيد من النجاحات,positive,0
Facebook,Messages positifs / remerciements,"مليون ترليون مبروك ",positive,0
Facebook,Messages positifs / remerciements,مبروك . عروض نهاية السنة مكانش هذ العام ..,positive,0
Facebook,Messages positifs / remerciements,Excellent,positive,0
Facebook,Messages positifs / remerciements,هكذا يكون التنسيق بين الشركات,positive,0
Facebook,Messages positifs / remerciements,مبادرة جيدة bravo,positive,0
Facebook,Messages positifs / remerciements,Biskra pas encore c'est malheureux,negative,0
Instagram,Messages positifs / remerciements,Ravie et toujours heureuse de voire mon Algérie et mes compatriotes évoluer . Bonne continuation. و تحيا الجزااااائر,positive,0
Instagram,Messages positifs / remerciements,"Félicitations, après des mois de travail, belle récompense pour toutes les équipes ayant travaillé dessus",positive,0
Facebook,Messages positifs / remerciements,"Bravo Algérie Telecom pour vos efforts , bravo à tout les employés",positive,0
Instagram,Messages positifs / remerciements,شكرا على البيان ,positive,0
Instagram,Messages positifs / remerciements,مشكورين على البيان و التنويه,positive,0
Linkedin,Messages positifs / remerciements," J’adore ",positive,0
Linkedin,Messages positifs / remerciements,Toujours plus proche 料,positive,0
Facebook,Messages positifs / remerciements,تحسن كبير يعطيكم الصحة,positive,0
Facebook,Messages positifs / remerciements,المزيد من التألق لشركتنا هكذا تكون الثقة بين الزبائن وإتصلات الجزائر,positive,0
Facebook,Messages positifs / remerciements,و هذا في اطار تحسين الخدمة طبعا.... بالتوفيق,positive,0
Facebook,Messages positifs / remerciements,إن تطور في الإنتاج ليس وليد الصدفة، بل هو ثمرة الإصرار والعمل الجماعي المتكامل، كل خطوة إلى الأمام تعزز مكانتنا وتفتح لنا آفاقًا جديدة نحو التميز ، لنواصل رحلتنا بروح التحدي والإبداع، فالمستقبل ملك لمن يجتهد ويؤمن بقدرته على تحقيق الأفضل✌,positive,0
Facebook,Messages positifs / remerciements,إتصالات الجزائر دائما أقرب تسعى دائما لتقديم الأفضل,positive,0
Linkedin,Messages positifs / remerciements,Produit formidable,positive,0
Linkedin,Messages positifs / remerciements,Congratulations team :),positive,0
Facebook,Messages positifs / remerciements,بالتوفيق و النجاح,positive,0
Facebook,Messages positifs / remerciements,ممتاز نتمنى أن تنجي الشركتين ثمار هذه الشراكة المميزة جدا,positive,0
Facebook,Messages positifs / remerciements,ياودي رجعولنا غير الكونكسيو باراكات ويكثر خيركم ,negative,0
Facebook,Messages positifs / remerciements,Algérie Télécom - إتصالات الجزائر وصلتني اليوم شكرا,positive,0
Facebook,Messages positifs / remerciements,احسنتم انا كانت مقطوعة ورجعت,positive,0
Facebook,Messages positifs / remerciements,ما يعجبني ردودكم على كل الزبائن خدمة في القمة دمتم دام تألقكم,positive,0
Facebook,Messages positifs / remerciements,مع انني لست معنيا بهذا النوع من الاشتراك ولكن وددت ان اقول لكم شكرا لكم على هذا العمل الاحترافي، واصلوا على هذا المنوال ,positive,0
Facebook,Messages positifs / remerciements,هكذا باعتذاركم انتم تتقربون من المواطن موفقين,positive,0
Facebook,Messages positifs / remerciements,شكرا لكم دمتم أوفياء في خدمة الزبائن,positive,0
Facebook,Messages positifs / remerciements,,positive,0
Facebook,Messages positifs / remerciements,شكرا لإحترامكم لزبائن و تعويضعه شكرا لكم,positive,0
Facebook,Messages positifs / remerciements,Félicitations j'ai eu le plaisir de voter avec une note complète 10 /10 le mois de novembre,positive,0
Linkedin,Messages positifs / remerciements," Félicitations pour ce prix bien mérité ! Merci à vous pour ce court-métrage émouvant et puissant, réalisé avec la participation d’une jeune agence prometteuse, qui a su être à la hauteur. Une belle réussite à tous les niveaux ! ",positive,0
Linkedin,Messages positifs / remerciements," Un grand bravo à toutes les équipes managériales et techniques d'Algérie Télécom pour leur gestion diligente de leurs projets. ",positive,0
