Réseau Social,Class,Commentaire client,category,urgent
Twitter,"Questions, demandes d’information et d'assistance","Comment savoir si nous sommes concernés et la date approximative de la connexion à la fibre. Mon numéro 023 30 07 79 à Oued Romane (El Achour) ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",modem,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Algérie Télécom - إتصالات الجزائر يعني كي نطلعها ثلاثون ميغا كارطة تاع مائة الف قداه تحكملي؟؟؟؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",هاد لعرض للمشاركين جدد ولا كامل؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Kmli hadak chehar gratuite kindir n3amr drwk Iddom fibre,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",واش كاين,off-topic,0
Instagram,"Questions, demandes d’information et d'assistance",adsl ننتظر ولا مكلاه ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","آش نعرف ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","Les modemes ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",عمال وعاملات إتصالات الجزائر 58 ولاية واش من جديد كاين في واش من عرض,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",كاش مودام 5g idoom,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",باش جراح وقتاش ديرو الالياف البصرية فيبر؟؟؟؟!!!!,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",بينا مودام ب 300 دج = 300mb,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","ماهو الجديد ؟ ماتقوليش جبتو les modem fiber عدنا شهور نستانو ؟!!! ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","درت طلب مودام 4g على مستوى الموقع   وكتاه يعيطولي ؟؟ ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",ماعرف كاش خبر على ايدوم 4G ماعرف تبقى قرد العش,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","جبتو لي مودام ؟؟ ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",رحت للوكالة التجارية باه نزيد سرعة التدفق قالولي مزال ما طلقوهاش رسميا (من 15 ميڠا إلى 30 ميڠا) ممكن توضيح,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Bonus باينة كيما كل عام,positive,0
Facebook,"Questions, demandes d’information et d'assistance",رقم مصلحة خدمة الزبائن الجزائر العاصمة,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",هل جهاز المودام 4g متوفر ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",ماهو,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",عندي ديبلوم Telecom مانلقاش خدمه عندكم,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",يادرا واش كاين,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",كم مدة صلاحية العرض ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",ايه كيفاه نديروها هاذي.,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",كيفية التزود بخط ثاني ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",و مع ZTE كيفاش ؟؟ الفيبر كاين و كلش واجد غير المودام مكانش ؟؟ لقيتو حل ولا مزااال ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",نوع المودام؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",مدة صلاحية العرض ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",مودام جيبتوهم ولا مزال فالاغواط,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",كيف يمكن رفع التدفق إلى 1.2 جيغابت\الثانية ،,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",أين هو المودام,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",هل كل المناطق معنية ؟؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",هل يمكن الاشتراك بالعرض 10 ميغا الذي هو في متناول اغلب العائلات؟ 1600 دج شهريا و الاشتراك 590 دج كل شهرين.,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",قبل التسجيل هل جماعت مدام ZTE معنين ام لا,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",وقتاه يفض العرض ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",خطرة لي فاتت ب 300 دج؟؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",اين الموديم ؟ اين الموديم ؟ كل يكتب اين الموديم حتى يحشمو شوية لانهم كترو عام و نحن ننتظر في الالياف,negative,1
Facebook,"Questions, demandes d’information et d'assistance","ليسجلو في سبتمبر اشتراك نتاع 300 وقتاه يجيويركبونا ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",و لمودام توفرو؟,negative,0
Facebook,"Questions, demandes d’information et d'assistance",Pour Une demande de fibre s'il vous-plaît ( nouvelle pas déjà installé car l'appartement été fermé ) que dois-je faire ?,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",احي ، اين هو الفيبر انا لا اراه,negative,0
Facebook,"Questions, demandes d’information et d'assistance",نترقب و نتطلع متى تنصب الخيمة,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",انا كزبون لم توفرو لي حتى الآن الخدمة يعني يان يفيدني هذا العرض ؟؟؟,negative,0
Facebook,"Questions, demandes d’information et d'assistance",العرض هذا كان مجاني قبل واليوم رجعتوه ب500 دج ؟؟ يعني من السيء الى الأسوء,negative,0
Facebook,"Questions, demandes d’information et d'assistance",هل هناك التزام 12 شهر او بدون التزام,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","من بعد كي يكمل الشهر مجاني تبقى السرعة 500ميقا ولا نجمو رجعوها 15 ميقا ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Yaw derna la fibre ou ba3tolna Modem wifi 4 habina nbedloh wifi 6 kifesh el hal,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",شحال لشهر,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",واش يا جماعة ألجيري ثيليكوم ؟؟ قرن و زمارة ما درتوش promo في بطاقات التعبئة fibre و adsl ؟؟,negative,0
Facebook,"Questions, demandes d’information et d'assistance",سؤال: هل ستبقى هاته التخفيضات عند التحاقنا بعالم الفايبر نحن اصحاب ADSL ؟ اذا طوالت لعمار...,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Dernièrement vous fournissez des modems fibre doté du wifi 6 comment faire pour changer mon modem ?????,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",وقتاش برك تبداو تبيعو لمودام لفيبر ام البواقي,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",علاه مودام عندكم,negative,0
Facebook,"Questions, demandes d’information et d'assistance",هل تم توفير مودام الالياف البصرية؟ عيينا واحنا نسناوووو,negative,0
Facebook,"Questions, demandes d’information et d'assistance",شحال سعر تعبئة انترنت شهر في idoom fibre,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance","هادا هو جديد ؟ ",interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",Et les mmmooooodeeemmmmssssss ???,negative,0
Facebook,"Questions, demandes d’information et d'assistance",السلام عليكم كيف يتم الاشتراك في هذا العرض؟,interrogative,0
Instagram,"Questions, demandes d’information et d'assistance",Ssafik li 3ndo 500mb deja tnahchatlo ?,interrogative,0
Instagram,"Questions, demandes d’information et d'assistance",ولي موصلناش كيفاش,interrogative,0
Instagram,"Questions, demandes d’information et d'assistance",وكتاش يخلاص العرض,interrogative,0
Twitter,"Questions, demandes d’information et d'assistance",Quelle solution pour ceux qui ont la vdsl a 50mega ,interrogative,0
Twitter,"Questions, demandes d’information et d'assistance",هل من جديد انترنت 4glte,interrogative,0
Twitter,"Questions, demandes d’information et d'assistance",Dernièrement vous fournissez des modems fibre doté avec wifi 6 comment faire pour changer mon modem??,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",حي 350 مسكن اجتماعي ببلدية مسرغين ولاية وهران تم توصيل الألياف إلى الحي ولكن الربط للمنازل لحد الساعة لم نرى شيئا ما العمل وكيف أستطيع الاستفادة من هذا العرض؟,interrogative,1
Facebook,"Questions, demandes d’information et d'assistance",هل المشترك الجديد يجب عليه الالتزام بسنة الأولى من الاشتراك في هذا العرض,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",والي عنده خط فيبر يقدر يشترك مرة ثانية ويستفاد ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",هل هذا العرض لمن لم يدخل الفايبر أو للمستعملين سابقا,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",موعد دخول مودام فيبر للوكالة جيجل ؟؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",وعلاش ليمودام كاشما راهم متوفرين مثلا؟,negative,0
Facebook,"Questions, demandes d’information et d'assistance",كيفاش نعرف الحي تاعنا مزود بخدمة الألياف البصرية,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",متى تصلون إلى عنابة بلدية البوني حي بوخضرة 3,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",نحن في برمادية غليزان عندنا اشتراك Adsl قديم هل يمكن أن نتحول للالياف البصرية,interrogative,0
Instagram,"Questions, demandes d’information et d'assistance",الذي يمتلك adsl ويريد ان يحول الى fibre optique معني بهذا العرض ؟,interrogative,0
Facebook,"Questions, demandes d’information et d'assistance",واين عرووض adsl ولا نسيتووهم خلااص,negative,0
Facebook,"Questions, demandes d’information et d'assistance",كيفاه نسلك 50 الف برك ؟,interrogative,0
