text,author,platform,fb_link,created_at,category,category_manual,manually_corrected,is_urgent,topic,sla_deadline,status,fetched_at
تم,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,unknown,,False,False,Useless / hors sujet / spam,2026-03-26T17:42:23,open,2026-03-24T17:42:23
راني في 7 ايام بدون انترنت بعد ما رفعت التدفق و تحصلت على المودام الجديد . كنت بالانترنت اصبحت بلا بيها . كل الشكاوي لم تلقى صدى ولم يتم حل المشكل. في عصر السرعة اتصالات الجزائر ماشي قادرين تحلو مشكل الكونيكسيو والايام لي ضاعت من يعوضها,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Retard d'installation et de mise en service,2026-03-26T17:42:23,open,2026-03-24T17:42:23
تم,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,off-topic,,False,False,Useless / hors sujet / spam,2026-03-26T17:42:23,open,2026-03-24T17:42:23
في حالة رفع تدفق الانترنت من فضاء الزبون .وتوجهت لاقرب وكالة ووجدت ان رقمي غير مؤهل مثلا للاستفادة من هذا العرض.. ما العمل.؟! وما المقصود بشرط على الأقل 80%من الاشتراك لم افهمه.وشكرا,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,interrogative,,False,False,Questions,2026-03-26T17:42:23,open,2026-03-24T17:42:23
أكثر من ثلاث أشهر منذ تركيب مودام الألياف البصرية ومكان والو وزادت حتى adsl عندها مدة مكانش، لمن نشكو، كتبنالكم رحنا للوكالة سجلنا فالسيت، تسمع غير تم أخذ شكواكم بعين الاعتبار لكن ماكان والو، فهمونا وين نروحو باه يدير ولنا حل؟؟؟؟,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Réclamation service,2026-03-26T17:42:23,open,2026-03-24T17:42:23
القونا حل بنسبة للمشكل لدرتهنا في تغير مودام من wifi5 إلى wifi6 راني في 6 ايام بلا انترنت راني داير 5 لركلاماسيو مدرتنا والو ارحو لدار الشرع وخلاص حبستنا كامل صولحنا شكون يتحمل المسؤولية تع لخصارة,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Panne et coupures générales,2026-03-26T17:42:23,open,2026-03-24T17:42:23
شكون قلي علاه كرحت نخلص الفاكتير قالولي ماتقدرش للعلم اول مرة راح نخلص ( فيبر ),unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,interrogative,,False,False,Questions,2026-03-26T17:42:23,open,2026-03-24T17:42:23
Packet loss rah kayan fL Fc 26 W prb tjr man 3andkom,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Panne et coupures générales,2026-03-26T17:42:23,open,2026-03-24T17:42:23
الوكالة التجارية الميلية ولاية جيجل. البعض من العمال يراها مملكة خاصة وبالإضافة إلى المعاملة السيئة للزبائن,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Négatifs,2026-03-26T17:42:23,open,2026-03-24T17:42:23
مرحبا Riad Zjijel يمكنكم طرح انشغالاتكم فيما يخص الانترنت عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم. -ياسمين,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,off-topic,,False,False,Useless / hors sujet / spam,2026-03-26T17:42:23,open,2026-03-24T17:42:23
Algérie Télécom - إتصالات الجزائر بعتلكم فالميسنجر ولم يتم الرد,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Réclamation service,2026-03-26T17:42:23,open,2026-03-24T17:42:23
Algérie Télécom - إتصالات الجزائر موظف في وكالة تجارية رفض تقديم اي خدمة لي بحجة اني لم ادفع نسخة من ب ت و البيوميترية .,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,negative,,False,True,Réclamation service,2026-03-26T17:42:23,open,2026-03-24T17:42:23
عزو عزو جل ٣ق51صغهثصء,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,off-topic,,False,False,Useless / hors sujet / spam,2026-03-26T17:42:23,open,2026-03-24T17:42:23
مرحبا Kader Bensoltane الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية🙏 -رياض,unknown,facebook,https://www.facebook.com/share/v/18CCDvN6qt/,2026-03-24T17:42:23,off-topic,,False,False,Useless / hors sujet / spam,2026-03-26T17:42:23,open,2026-03-24T17:42:23
